Title,Description,Epic,Priority,Estimate,Phase,Area,Status,Acceptance Criteria
Environment Variable Audit,"Audit all production environment variables against .env.example. Create deployment checklist.",Launch Readiness,Critical,1d,Pre-Launch,DevOps,Backlog,"- All required env vars documented in .env.example
- Production environment variable checklist created
- All critical vars (DATABASE_URL ADMIN_TOKEN STRIPE keys) verified
- CORS_ORIGIN configured for production domain
- TRUST_PROXY set correctly for hosting environment"
Database Migration Verification,"Verify all database schema changes are applied correctly. Test migration rollback.",Launch Readiness,Critical,1d,Pre-Launch,Database,Backlog,"- Run pnpm --filter db push successfully in staging
- Verify all foreign key constraints exist
- Verify all indexes are created
- Test data integrity after migration
- Document migration process in DEPLOYMENT.md"
Stripe Integration Testing,"Thoroughly test all Stripe payment flows (subscriptions deposits webhooks).",Launch Readiness,Critical,3d,Pre-Launch,Backend,Backlog,"- Test subscription checkout (Essentials Monthly/Annual Growth Monthly/Annual)
- Test deposit checkout (all 4 service types)
- Test webhook handling (checkout.session.completed subscription events)
- Verify email notifications sent correctly
- Test webhook signature verification
- Verify subscription records created in database
- Test payment failure scenarios"
Email Deliverability Testing,"Test all transactional email flows with Resend. Verify SPF/DKIM/DMARC.",Launch Readiness,Critical,2d,Pre-Launch,Backend,Backlog,"- Test contact form confirmation emails (to user and owner)
- Test newsletter welcome email
- Test payment confirmation emails
- Test contract emails
- Test onboarding emails
- Verify SPF/DKIM/DMARC records for sending domain
- Test email suppression list functionality
- Verify List-Unsubscribe headers work"
Contact Form Rate Limiting Testing,"Test rate limiting with TRUST_PROXY configuration. Verify legitimate users not blocked.",Launch Readiness,High,2d,Pre-Launch,Backend,Backlog,"- Test rate limiting from single IP (should trigger after 8 requests/15min)
- Test rate limiting from multiple IPs behind proxy
- Verify TRUST_PROXY=1 correctly identifies real client IP
- Test honeypot protection blocks bot submissions
- Verify failed submission tracking works
- Document rate limit behavior in DEPLOYMENT.md"
Adobe Sign Contract Testing,"Test contract automation flow end-to-end if Adobe Sign is configured.",Launch Readiness,High,3d,Pre-Launch,Backend,Backlog,"- Test onboarding form triggers correct contract template
- Test contract sending API endpoint
- Test contract status checking
- Test contract reminder emails (2-day and 5-day)
- Test contract expiration handling
- Verify database records created correctly
- Test edge cases (missing template invalid email)"
AI Chat Assistant Testing,"Test Aria AI assistant with all 4 system prompt paths.",Launch Readiness,Medium,2d,Pre-Launch,Frontend,Backlog,"- Test chat widget loads correctly
- Test all 4 system prompts (Strategic Planning Bookkeeping Setup Growth Plan Revenue Tracking)
- Test conversation persistence
- Test rate limiting on chat endpoint
- Verify OpenAI API key works
- Test graceful degradation if API fails
- Test chat widget on mobile devices"
Form Validation Testing,"Test all forms with edge cases invalid inputs and malicious inputs.",Launch Readiness,High,2d,Pre-Launch,Frontend,Backlog,"- Test contact form (quick and detailed versions)
- Test newsletter signup
- Test onboarding form
- Test feedback form
- Test with invalid emails XSS attempts SQL injection attempts
- Verify Zod validation catches all invalid inputs
- Test max length enforcement
- Verify HTML escaping in emails"
SEO Indexing Validation,"Run indexing guards check. Verify sitemap and robots.txt consistency.",Launch Readiness,High,1d,Pre-Launch,Frontend,Backlog,"- Run pnpm run check:website-deploy successfully
- Verify check:indexing-guards passes
- Verify sitemap.xml includes all 36 public routes
- Verify robots.txt blocks private routes (/admin /onboarding /welcome etc.)
- Verify noindex meta tags on sensitive pages
- Test sitemap.xml is accessible at /sitemap.xml"
Cross-Browser Testing,"Test website in all major browsers and mobile devices.",Launch Readiness,Medium,2d,Pre-Launch,Frontend,Backlog,"- Test in Chrome (desktop and mobile)
- Test in Safari (desktop and mobile)
- Test in Firefox
- Test in Edge
- Verify all forms work in all browsers
- Verify animations work (or gracefully degrade)
- Verify responsive layouts on various screen sizes
- Test page transitions"
Load Testing & Performance Baseline,"Establish performance baseline and test under load.",Launch Readiness,Medium,3d,Pre-Launch,DevOps,Backlog,"- Run load test on contact form endpoint (simulate 100 concurrent users)
- Test rate limiting holds under load
- Measure API response times (p50 p95 p99)
- Measure frontend Web Vitals (LCP INP CLS)
- Document performance baseline
- Identify performance bottlenecks"
Deployment Runbook Creation,"Create comprehensive deployment runbook with rollback procedures.",Launch Readiness,High,2d,Pre-Launch,Documentation,Backlog,"- Document deployment steps for Replit
- Create pre-deployment checklist
- Create post-deployment verification checklist
- Document rollback procedure
- Document emergency procedures
- Create deployment troubleshooting guide
- Update DEPLOYMENT.md with final steps"
Testing Framework Setup,"Add Vitest testing framework to monorepo.",Testing Infrastructure,Critical,1d,Pre-Launch,Testing,Backlog,"- Install Vitest in root and workspace packages
- Configure vitest.config.ts for each package
- Set up test coverage reporting
- Configure CI/CD to run tests
- Update package.json scripts
- Document testing conventions"
API Route Testing - Contact Endpoints,"Write comprehensive tests for contact form endpoints.",Testing Infrastructure,Critical,3d,Pre-Launch,Testing,Backlog,"- Test POST /api/contact with valid data
- Test with invalid data (validation errors)
- Test rate limiting behavior
- Test honeypot protection
- Test email suppression check
- Test database insertion
- Test email queuing
- Mock external dependencies (Resend)
- Achieve 80%+ code coverage"
API Route Testing - Newsletter Endpoints,"Write tests for newsletter subscription and unsubscribe flows.",Testing Infrastructure,High,2d,Pre-Launch,Testing,Backlog,"- Test POST /api/newsletter/subscribe
- Test GET /api/newsletter/unsubscribe with token
- Test POST /api/newsletter/unsubscribe
- Test duplicate subscription handling
- Test unsubscribe token generation
- Test rate limiting
- Mock Resend API"
API Route Testing - Payment Endpoints,"Write tests for Stripe payment endpoints and webhook handling.",Testing Infrastructure,Critical,3d,Pre-Launch,Testing,Backlog,"- Test POST /api/payments/create-checkout-session
- Test POST /api/payments/create-deposit-session
- Test POST /api/payments/webhook with valid signature
- Test webhook with invalid signature (should reject)
- Test all webhook event types
- Test idempotent webhook processing
- Mock Stripe API
- Test database updates"
API Route Testing - Contract Endpoints,"Write tests for contract automation endpoints.",Testing Infrastructure,High,3d,Pre-Launch,Testing,Backlog,"- Test POST /api/contracts/send
- Test GET /api/contracts/status/:agreementId
- Test POST /api/contracts/sync/:agreementId
- Test POST /api/contracts/reminder/:agreementId
- Test contract state transitions
- Test reminder scheduling
- Test expiration handling
- Mock Adobe Sign API"
API Route Testing - Admin Endpoints,"Write tests for admin endpoints and authentication.",Testing Infrastructure,High,2d,Pre-Launch,Testing,Backlog,"- Test admin auth middleware (valid token)
- Test admin auth middleware (invalid token)
- Test admin auth middleware (missing token)
- Test timing attack resistance
- Test rate limiting on admin endpoints
- Test GET /api/admin/inquiries
- Test PATCH /api/admin/inquiries/:id/status"
Webhook Signature Verification Tests,"Write comprehensive tests for webhook signature verification (Stripe Cal.com Resend).",Testing Infrastructure,Critical,2d,Pre-Launch,Testing,Backlog,"- Test Stripe webhook signature verification (valid)
- Test Stripe webhook signature verification (invalid)
- Test Cal.com webhook HMAC verification
- Test Resend webhook Svix verification
- Test replay attack prevention
- Test timestamp validation"
Email Suppression Logic Tests,"Write tests for email suppression list functionality.",Testing Infrastructure,High,2d,Pre-Launch,Testing,Backlog,"- Test adding email to suppression list
- Test checking if email is suppressed
- Test different suppression reasons (bounced complained unsubscribed)
- Test suppression list blocks email sends
- Test normalization (case-insensitive)"
Rate Limiting Behavior Tests,"Write tests for rate limiting across all endpoints.",Testing Infrastructure,High,2d,Pre-Launch,Testing,Backlog,"- Test general API rate limit (1000/15min)
- Test admin rate limit (100/15min)
- Test contact form rate limit (8/15min)
- Test newsletter rate limit (20/hour)
- Test rate limit reset after time window
- Test rate limit with trusted proxy (X-Forwarded-For)"
Database Integration Tests,"Write tests for database operations and schema integrity.",Testing Infrastructure,Medium,3d,Post-Launch,Testing,Backlog,"- Test contact inquiry insertion
- Test subscription creation
- Test contract creation with foreign key constraints
- Test contract template lookup
- Test email suppression list queries
- Test outbound email events queue
- Use in-memory database for tests (pg-mem or similar)"
Frontend Component Tests,"Write tests for critical frontend components.",Testing Infrastructure,Medium,1w,Post-Launch,Testing,Backlog,"- Test ContactForm component (quick and detailed)
- Test NewsletterSignup component
- Test ChatWidget component
- Test SEO component (meta tags)
- Test form validation with react-hook-form + Zod
- Test error handling
- Use Vitest + Testing Library"
End-to-End Tests Setup,"Set up Playwright for E2E testing of critical user flows.",Testing Infrastructure,Medium,3d,Post-Launch,Testing,Backlog,"- Install Playwright
- Configure Playwright for CI/CD
- Set up test database seeding
- Create test fixtures
- Document E2E testing conventions"
E2E Test - Contact Form Submission,"Write E2E test for complete contact form flow.",Testing Infrastructure,High,2d,Post-Launch,Testing,Backlog,"- Test filling out quick contact form
- Test filling out detailed contact form
- Test form validation errors
- Test successful submission
- Test rate limiting (multiple submissions)
- Verify database record created
- Verify email queued"
E2E Test - Payment Flow,"Write E2E test for Stripe checkout flow.",Testing Infrastructure,High,3d,Post-Launch,Testing,Backlog,"- Test creating subscription checkout session
- Test creating deposit checkout session
- Test redirect to Stripe (mock in test)
- Test successful payment redirect to /welcome or /payment-success
- Test webhook processing creates subscription record
- Use Stripe test mode"
Test Coverage Goals & CI Integration,"Set test coverage goals and enforce in CI/CD.",Testing Infrastructure,High,2d,Post-Launch,Testing,Backlog,"- Set coverage threshold (minimum 70% overall)
- Configure coverage reporting in CI/CD
- Fail CI if coverage drops below threshold
- Generate coverage reports (HTML JSON)
- Add coverage badge to README (optional)"
Request Tracing Middleware,"Add request ID middleware to correlate logs across multi-step flows.",Observability & Monitoring,High,1d,Launch,Backend,Backlog,"- Install uuid package
- Create request ID middleware (generates UUID for each request)
- Add request ID to all log statements
- Include request ID in response headers (X-Request-ID)
- Update logger to accept request context
- Document request tracing in DEPLOYMENT.md"
Sentry Error Tracking - Backend,"Integrate Sentry for backend error tracking.",Observability & Monitoring,High,2d,Launch,Backend,Backlog,"- Install @sentry/node
- Configure Sentry DSN (environment variable)
- Add Sentry error handler middleware
- Configure source maps upload
- Add user context (IP request ID)
- Add breadcrumbs for key operations
- Test error reporting"
